Fecha y hora: 2022-09-30T09:23:40.367331, Metodo: fichero_Binario_to_CSV, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\temp_NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls.csv, Exito: true
Fecha y hora: 2022-09-30T09:23:40.370322700, Metodo: ordenar_Archivo_CSV, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls_ord.csv, Exito: true
Fecha y hora: 2022-09-30T09:23:40.371320100, Metodo: fichero_Binario_to_CSV_ordenado, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls_ord.csv, Exito: true
Fecha y hora: 2022-09-30T09:23:40.374312100, Metodo: fichero_CSV_to_Binario, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\NoPetesPls_ord.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\NoPetesPls_ord.dat, Exito: true
Fecha y hora: 2022-09-30T09:23:40.375309500, Metodo: ordenar_Archivo_Binario, Entrada: src/main/resources/DAT/NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\NoPetesPls_ord.dat, Exito: true
Fecha y hora: 2022-09-30T09:23:43.973018200, Metodo: fichero_Binario_to_CSV, Entrada: src/main/resources/DAT/NoPetesPls_ord.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\NoPetesPls_ord.csv, Exito: true
Fecha y hora: 2022-09-30T09:23:53.861622500, Metodo: fichero_Binario_to_CSV, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\temp_NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls.csv, Exito: true
Fecha y hora: 2022-09-30T09:23:53.863428200, Metodo: ordenar_Archivo_CSV, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls_ord.csv, Exito: true
Fecha y hora: 2022-09-30T09:23:53.864427500, Metodo: fichero_Binario_to_CSV_ordenado, Entrada: src/main/resources/DAT/NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls_ord.csv, Exito: true
Fecha y hora: 2022-09-30T09:46:22.737666800, Metodo: fichero_Binario_to_CSV, Entrada: src/main/resources/DAT/Test.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\Test.csv, Exito: true
Fecha y hora: 2022-09-30T09:50:31.549518100, Metodo: fichero_Binario_to_CSV, Entrada: src/main/resources/DAT/Test.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\Test.csv, Exito: true
Fecha y hora: 2022-09-30T10:11:45.398526200, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T10:11:49.481094500, Metodo: ordenar_Archivo_CSV, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\Empleados_ord.csv, Exito: true
Fecha y hora: 2022-09-30T10:16:04.184039400, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T10:16:08.563451700, Metodo: ordenar_Archivo_CSV, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\Empleados_ord.csv, Exito: true
Fecha y hora: 2022-09-30T10:46:48.291903400, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T10:46:51.075366900, Metodo: fichero_Binario_to_CSV, Entrada: src/main/resources/DAT/Empleados.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\Empleados.csv, Exito: true
Fecha y hora: 2022-09-30T10:47:02.478831400, Metodo: ordenar_Archivo_CSV, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\Empleados_ord.csv, Exito: true
Fecha y hora: 2022-09-30T10:47:13.311790500, Metodo: fichero_Binario_to_CSV, Entrada: src/main/resources/DAT/NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\NoPetesPls.csv, Exito: true
Fecha y hora: 2022-09-30T10:47:21.466702500, Metodo: fichero_Binario_to_CSV, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\temp_NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls.csv, Exito: true
Fecha y hora: 2022-09-30T10:47:21.468697300, Metodo: ordenar_Archivo_CSV, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls_ord.csv, Exito: true
Fecha y hora: 2022-09-30T10:47:21.469704400, Metodo: fichero_Binario_to_CSV_ordenado, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls_ord.csv, Exito: true
Fecha y hora: 2022-09-30T10:47:21.473442800, Metodo: fichero_CSV_to_Binario, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\NoPetesPls_ord.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\NoPetesPls_ord.dat, Exito: true
Fecha y hora: 2022-09-30T10:47:21.473442800, Metodo: ordenar_Archivo_Binario, Entrada: src/main/resources/DAT/NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\NoPetesPls_ord.dat, Exito: true
Fecha y hora: 2022-09-30T10:47:23.919691, Metodo: fichero_Binario_to_CSV, Entrada: src/main/resources/DAT/NoPetesPls_ord.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\NoPetesPls_ord.csv, Exito: true
Fecha y hora: 2022-09-30T10:47:30.800662900, Metodo: fichero_Binario_to_CSV, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\temp_NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls.csv, Exito: true
Fecha y hora: 2022-09-30T10:47:30.802657600, Metodo: ordenar_Archivo_CSV, Entrada: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls_ord.csv, Exito: true
Fecha y hora: 2022-09-30T10:47:30.803654800, Metodo: fichero_Binario_to_CSV_ordenado, Entrada: src/main/resources/DAT/NoPetesPls.dat, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\temp_NoPetesPls_ord.csv, Exito: true
Fecha y hora: 2022-10-03T10:09:09.643215900, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-10-03T10:09:14.312168200, Metodo: ordenar_Archivo_CSV, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\CSV\Empleados_ord.csv, Exito: true
